Pyroxene Minerals (crystalline) (Jäger et al. 1998) :Enstatite (normal to c-axis), s1from: http://www.astro.uni-jena.de/Laboratory/Database/data/silicate/ens_s1.lnk808 linesmicrons    n               k

Wavelength [microns]  Re(m)       Im(m)
      46.7466       4.6971202      1.40594
      47.0690       4.4772000      1.07017
      47.3958       4.3040600     0.965231
      47.7273       4.2603002     0.820072
      48.0634       4.0889502     0.621440
      48.4043       3.9228699     0.614119
      48.7500       3.8629799     0.546480
      49.1007       3.7199600     0.520970
      49.4565       3.6833701     0.562930
      49.8175       3.6979699     0.499380
      50.1838       3.5840399     0.423851
      50.5555       3.5355401     0.475329
      50.9328       3.5195999     0.417740
      51.3158       3.4554100     0.442050
      51.7045       3.4656799     0.413000
      52.0992       3.4146299     0.410300
      52.5000       3.4314401     0.386750
      52.9070       3.3795199     0.342870
      53.3203       3.3337600     0.347850
      53.7402       3.3362999     0.368140
      54.1667       3.3301799     0.307820
      54.6000       3.2762201     0.336000
      55.0403       3.3336899     0.297320
      55.4878       3.2366300     0.227010
      55.9426       3.1930699     0.284370
      56.4050       3.2047400     0.284320
      56.8750       3.1964700     0.270910
      57.3529       3.1698101     0.241880
      57.8390       3.1170499     0.276010
      58.3333       3.1801801     0.297560
      58.8362       3.1411800     0.214940
      59.3478       3.1164100     0.270369
      59.8684       3.1290801     0.204490
      60.3982       3.0478799     0.245130
